title,text,rating,review_length
Keep track of my stuff,I use this on my diabetes supply bag since it was always going missing. I can affirm that it's loud enough to be hard clearly through a blanket and pillow. :). Love it so much I subscribed to premium and now I'm rings my phone if I run out the door without it!,5,260
No problems,"Helps me keep track of my bag, even rings my phone if I leave the house without it.<br /><br />I'd originally put it on my bag of diabetes supplies because it was always being misplaced, but found it wasn't loud enough for a smaller bag that sometimes gets hidden under blankets and pillows in my bed. So I ordered the pro version that's louder (and has more range) for it and put this one on my purse. No complaints!",5,417
Wow,"The sound on this little gadget is great, very pleasantly surprised with it. My phone (note 8) had a little trouble connecting at first but turns out my watch (gear s3) was being ornery. Once that was resolved it connects fine.<br /><br />Just one thing I'd change. The blinky lights. They're cool for about a minute. Then the realization sets in that not only can I not have it just glow a color, it keeps blinking in this annoying pattern and there's no way to turn it off. I bought this speaker to sit on the counter in my master bath. I'd intended to keep it plugged up in there so I didn't have to mess with turning it on or off. Not blinking, it may have made a cool nightlight... But blinking it's like a disco nightlight. It's rather bright. I haven't seen it yet with all the lights off (like if I'm going to sleep) but I can imagine it's going to look like a party in my bathroom. :-D",5,894
Good,"Works as advertised<br /><br />That's all I could get out of my son, for whom I bought this item.",5,97
Great for USB hard drives,"I got these when the original cables started fraying. They work great, no problems so far. Also solved a problem I was having with one of my drives that had what I thought was a loose port - well it was actually the cable. They're nice looking too.",5,248
Works great,Works great to keep my IP camera with borked wifi online.,5,57
Five Stars,Beautiful and work great.  I love the way they feel.  Definitely not a boring old cable.,5,88
My mother uses these to back up video files she's downloaded,"She has a real library now, and they are showing no signs of data loss or any problems.  She prefers these with the white (printable) side on them to the silver ones so it looks better when written on with a sharpie.",5,216
Really great sound for such a tiny package,"I couldn't believe how good it sounds. And it's so stinkin' cute! Since the strap just loops on, I'm thinking about getting a lanyard to put it on as well.<br /><br />Even the box was cute.",5,189
I love my watch,"I don't normally wear one, or any jewelry at all for that matter, and while at first look and when I first started wearing it I was extremely put off by the size of it.  Yes, it bothered me .... a lot.  But now I'm used to it, and feel naked without it.  I've got it loaded up with cool faces and lots of very useful apps.  I've even got my son wanting one now.",5,361
Bought for my son's new phone,And it's great.  He's kinda tough on his things so I feel it's a great little &#34;insurance policy.&#34;,5,105
Five Stars,Works great in my Wii  :-),5,26
Great Buy,"I just loved the quality and price of the item, Thank You!",5,58
Gets my ass up,Gets my ass up,5,14
Only one of the three trackers loaded on my phone ...,"Only one of the three trackers loaded on my phone.  :(  The one works well, when its able to be located on my phone......",1,121
Two Stars,Cords broke quickly and one only worked for a week.,2,51
"This is a good, moderately priced mouse.",Love the fun design,5,19
An important addition,I am pleased with the case for my new scanner pen.,5,50
Great product.,Bought this for my husband for Christmas he wanted one. He is very happy with it.,5,81
Received it super fast!,Worked just as expected. Received it super fast!,5,48
I'm sorry already...ugh,The video on this computer sucks.  I have had a similar HP laptop for the past 5 years and had nice clear video.  This computer has awful video on zoom and does not support a virtual background.  The colors are not sharp and it looks like the contrast is off.  I am so disappointed that I paid this much for a laptop that is worse than the one I was replacing.  Beware.<br />I am so upset about this purchase that I can’t sleep. I hope something can be corrected.,2,463
great,"packaged well, delivered promptly, a very good value for the money. I am well pleased.",5,86
good,"packaged well, shipped promptly, and good value for the money.",5,62
A,"arrived promptly, packaged well and works like a charm. great seller!",5,69
wonderful,great addition to my Bose headphones for distance. highly recommend,5,67
A+,"great price, works wonderfully. came packaged well.",5,51
A+,"good product, reasonable price. shipped quickly",5,47
terrible buy,"I use these on two seperate computors, in two seperate houses and they will NOT fully charge unless they're left on for 48 hrs!!! I have a new Samsung Galaxy S10+ and it never, ever takes that long. so no, I wouldn't recommend these to anyone.",1,243
WONDERFUL,"I ordered this by mistake and when it arrived I was flabergasted. it is HUGE. I didn't send it back since it was my mistake. after a week of using it, no one could take it from me! it's fantastic. even my son is wanting one now. I highly recommend the seller.",5,259
there's a couple things I don't like about this,"there's a couple things I don't like about this, for instance, you can't easily adjust the volume. but otherwise it's a good investment.",4,136
Seagate Backup 4 TB,I got this for my son who NEVER has enough hard drive space. He was ecstatic about this. it works with Windows 7 wonderfully. well worth the price.,5,147
WD Elements 3 TB USB 2.0 Desktop External Hard Drive,I've had two of these and never had any problems. They work fine and I'd highly recommend them to anyone looking to increase their storage capacity for their pc.,4,161
FUJIFILM NP-45 LITHIUM ION BATTERY-RECHARGEABLE,"I went to several locations to purchase a batter for my digital camera and was told they no longer carried what I needed. I found this online and it is exactly the battery I originally had in my camera and it works great! I was going to have to pay as much for the batter as I did for my camera, this was priced wonderfully. I popped it in and it worked instantly.<br />It was packaged well, shipped quickly and priced great! highly recommended.",5,445
Rockville loses rep over this one,"This is a horrible product and a pathetic attempt at a more affordable item by a company that has the reputation of being better than this monstrosity. There is no bass (despite a knob that claims to be such). The clarity sounds like a rock band sinking under mud all while trapped in a well. The wattage depicted is a total lie. Even if backed by an amp, this speaker will fail to deliver the promised power. I don't recommend this to anyone; except back to its company with a dunce hat on it that written on would read: ""Wha what what... Please start over and try again.""",1,573
Can never go wrong with an Apple product,I bought this for my daughter to put in her new wallet as she lost her last one. Subsequently she lost her new wallet but the AirTag was in it. She found it exactly where she had left it using her iPhone.,5,204
New and improved,I had the regular firestick before and this 4k version is soooo much better,5,75
Fits perfectly,"Fits very well, feels like I’m just holding a book. No worries about the iPad slipping out. The 3 stand positions are firm and raised enough for the iPad to stay in place. Color is exactly as pictured.",5,201
Spend a little more on a different radio.,"This radio lasted a whole 8 months.  Volume control stopped working and unit would shut down and restart if you try to adjust the volume.  It's a bare bones radio, but disappointed because of the $165 price tag.  Haven't checked into warranty yet, but I don't have time to hassle with that.  Just going with another brand and getting a new one.",1,344
easier than extension cords,"The blue light needs a sticker over it if it's near your bed at night but other than that, this product is great. Some ppl may enjoy the light to show them where your phone is plugged in, I use a sticker.",5,204
Samsung tab A,Love the color as I`m  partially color blind so can see this no matter what it`s sitting on. Fits perfectly around my Samsung Tab A.,5,132
cute,"very fun band, easy to put on, will fit any wrist. I have gotten lots of compliments.",5,85
Doesn't last don't buy,I really liked this when I got it but it only lasted 6 months.  In the meantime I bought another one and it only lasted 6 months.  Also the blue tooth connection was very poor and didn't work all the time.,2,205
Its a miniature  of the old style cassette recorder,I really like this product and it was perfect for recording voices.  Its easy to load and to record.  The only negative is the buttons aren't marked with color so you know which button is which. I did that using a marker.,5,221
This is a great holder,I bought this for my sister who hadn't been able to find one sturdy enough to sit upright.  She has bragged on it to me ever since she received it.,5,147
this was incredibly easy to use,"It needs to have some instructions for use.  I plugged it in and got a backup on  my phone info but not sure how to get  it off there to be able to use the device again?  More information for us ""little ole ladies"".",4,215
It's more complicated than it should be. I'm having ...,It's more complicated than it should be.  I'm having a hard time getting to my books when I want to read.  I have gone back to my old kindle for reading.  I will use it as a backup to my computer.,4,196
Kindle Fire HD 7 inch can replace I-Pad - especially in the price range,Bought this for my aunt who thought she wanted an I Pad.  She Loves It!!  She is not really tech savvy and everyday I see her learn<br />on her own how to do something else on it.  Just the right size to go into her purse also. Great job.,5,238
Lots of goodies = not sure how to use them all,Should have instruction sheet showing where everything goes and what its for .,3,78
Looks cool but not easy to use,It was difficult to use if your challenged by Origami type things.  I sent it back.,3,83
Go New You won't regret it then,It never worked right from the day I got it.  I sent it back and replaced it with a new Kindle Fire HD that I love!,1,115
I sent it back because it wasn't a smart TV,I really liked the picture and the remote was very user friendly but<br />I didn't know that I couldn't get Netflix on it when I bought it.  I send<br />it back and Amazon was so cool about it and I replaced it with the<br />Vizio.,4,231
Great TV except for the remote,I really like this TV in that you can access things more directly right from the<br />remote in one step instead of 2-3 steps like the TV's before.  The only<br />complaint is the remote is so small its hard to see the printing on the controls.,4,244
"Great price, great product!",These work great! Love that there were 4 in a pack.,4,51
Perfect fit,Easy to apply and looks great!,5,30
Great for travel or work.,"This is such a great backpack. I got it to travel, it’s roomy, durable and did I say cute!",5,90
"Love, love these","Love, love these. Cute and great sound. Can’t tho wrong with the lightening deal! But even at regular price they are with it.",5,125
Satisfied,"Works great, looks great. I'm tough on my phone and case and this can handle it while still looking cute.",5,105
Exactly what I needed for the camera,It's so cute and keeps the camera very safe.  Love how the front snaps off for easy access. Also has a small pocket to keep photos as you take them and the extra lenses for up close.,5,182
The sound is nice but for the price it is expected,"It takes sd cards, 3.5mm jack aux input, Bluetooth and nfc pairing. I have used it via Bluetooth and SD card and the sound is very nice.<br /><br />I recommend using a high amp charging block or charger like the ones for the Samsung tablets or the big apple chargers. I have also seen some laptops with USB-c that would work which would definitely increase the speed of charging. The first time I charged it the battery light was at about 2/3 full and it took almost 6 hours to fully charge it with a small charger.<br /><br />I like the color green so this speaker is very nice to me.<br />You could also charge something with this speaker like a phone or small device. I have not tried it but it seems like it would work obviously it would reduce your play time.<br /><br />Also, I did not know this when I bought it but if you have two of these speakers you can pair them to have true stereo sound.",4,901
"Wow, I did not believe it at first.",I never thought more mass on a socket would make a difference but it's just like having a bigger hammer so after using it now I understand. I broke a 1/2 extension trying to remove a 19mm bolt on a harmonic balancer pulley. This socket with my battery powered dewalt impact was able to remove it. I was using a 19mm impact socket but it did nothing. Since it was a regular socket. I recommend for anyone that does automotive work specially on Honda engines. There are cheaper ones and more expensive ones but I believe either would work.,5,537
Bought to replace a Cisco router,I bought it to replace a 10 year old Cisco router that had started to drop when a lot of devices were connected (more than 4 at a time). It was also getting slow.  I did some research and found out that most people replace their routers sooner so maybe my cisco router was really good. The set up was easy but it kind of suscks you can't modify your wifi password. I am not a network experienced person so I don't have much to say about networking systems. For my home use it is good so far.,5,491
Very weird antenna but it works,Took about 5 to 10 minutes to assemble. Comes with instructions but it's not complicated to understand how it needs to be put together. The antenna comes with a box that is needed to view the picture other wise it does not work. Comes with a cable that did work but I am not using it at the moment. We will see how long it last out in the sun. As of now it's only been in service for a week.,4,391
The app is nice that way you don't dedicate a screen,"The motion detection is very sensitive some times I believe it detects the wind moving the camera just a little. The night vision is good. Lately for some reason when I look at live cameras the image is very blurry. I have had these cameras for a bout two months now so I don't know if the memory is getting full and that is why it blurs the live videos or what. For the price I think they are ok but the blurry live video has me regretting this purchase.<br />These are wired cameras and that is why I got them but they come with a link to an application where you can hardwire the console to internet and can watch it anywhere where there is internet.<br />Also, you can buy more cameras and add up to 8 on the DVR.<br />Update February 2022.<br />Do not buy from Amazon, the manufacturer will not honor the one year warranty unless you purchase it from their website. After less than a year two of my four cameras don't record clearly.",1,938
Not very impressed about the capacity.,"I use this sd card in a dash camera and for some reason the card does not hold the capacity it reads. Normally about 20 or 19 GB are recorded. I have formatted the card before and seems it holds a little more but not close to 32 GB. I was thinking somewhere around 30 GB would be acceptable,but I barely get 25.",2,311
Great product,Great gadget<br />Use it normally to check cylinder walls inside car engines.<br />Although it is tedious to align the camera inside small places because the cable is flimsy.,5,174
Does not work without modifing wiring harness,"Did not work as it is advertised. Was told it would fit my vehicle, did not recommend any additional items and as item was received did not work with my truck",3,158
Excellent little camera,I have it in my window for the simple fact that I'm recording on an SD card and not subscribing to the cloud. Turn the night vision off and it's very clear. I can see across the street to my neighbor's house. Which is roughly 200/250 yards I'm guessing. You can also live record while on the app and it will send the video to your phone's gallery. A+ Definitely will be ordering a couple more.,5,393
Great projector for the money,"We just got it today and couldn't wait to try it out. It does not connect straight to an android phone. I had to connect the Chromecast to the projector, but from there it was a breeze to get the movie playing. Great picture! I'm very satisfied with the purchase. Can't wait to have movie night outside!",5,303
Would buy again,5 solid stars!!! Much better quality than the one I previously was using purchased from Walmart. Good quality wire and plug. You can hear the tape running slightly but only while music is off. Good sound!,5,204
Definitely worth the value!,the screen and picture quality are extremely clear. Highly recommend. The additional charging options have been an extra bonus to this!!!,5,137
I can see it!,"I am 68 years old and I acquired a Watch from Medicare from another company. They sent it free. Well, guess what I could not even see it. So I did some research and I purchased this one. This one has everything I would want and more and I can see it! Love the watch.",5,266
Great sound,Ordered this on a whim. It was marked down. It is the best thing I have ever owned. The sound is wonderful. The battery life is amazing. I still have not charged it from when it got out of the box.,5,197
Works great,This was a great price. And it works great!,5,43
I really like this little machine,"I really like this little machine, but the battery pack holder does not stay shut. This causes the machine to keep shutting off.",4,128
"Helpful, Fun",I’m using this for St Patrick’s Day teaching in school. My students are English Language Learners so they are learning American Holidays too.,5,141
Important To Own,I use the longer cords to charge my iPhone and iPad so I’m need tied to an electrical outlet or have more freedom of movement. This cord works well and I suspect it will be longer lasting than most Apple cords.,5,210
Very Helpful,At home or at the office I like a long cord to charge my iPhone and iPad. I’m always looking for them because they’re the most common length I use. It works.,5,157
For The Classroom?,I got these because most are appropriate for the classroom and don't necessarily need to be used on dogs as characters.  Thought bubbles can be helpful for cartoon design.,4,171
Good Air Tag Holders,"I liked the idea for keeping track of my car keys which seems like a perpetual problem for me.  The weight is a bit much though, I'd like a lighter holder and maybe different colors.",4,182
Nice Router,This is a simple router and it works fine. I find everything I need from this router.,5,85
Recommended.,They work very well. I love the length. No problems.,5,52
So Happy to Get This Computer!,I'm using this computer right now.  it was easy to set up and use in a short period of time.  The computer is HP and the operating system in Windows 10.  The keyboard is light and easy to put on my lap and the computer fits on my coffee table which allows me  to watch TV while using it.  Not too unlike a laptop and it has a nice size.  I can also use the monitor to watch TV with apps and read books as well.  It is also touchscreen.  Loving my new computer.  It's refreshing to have a desktop.,5,496
Basic Replacement Power Cord,My son feels you can’t have enough for these cords. Apparently they wea out quickly. It works.,5,94
Freedom Stand,This stand allows a person to use two monitors and stand up instead of sitting down.  The stand is adjustable and allows a person to sit or stand as needed without having to readjust monitors.  Pretty cool.,5,206
Very Attractive IPad Pro 2017 Case,Nice case for I Pad Pro 2017.  I miscalculated and and asked for the smaller ipad case.  The color is very nice and attractive.  I will have to get the larger case however.,4,172
Nice Wireless Headphones,"They are nice looking and comfortable to wear, a lot more comfortable than most headphones. My only complaint is that I seem to have to charge them much too often.",4,163
Really Like These Bluetooth Headphones,These headphones charged well and I really thought the sound is great. The charged stayed for several hours and they were comfortable to wear. I like the night green color too!  The Bluetooth connected easily to my phone.,5,221
Great Product,My daughter uses this at college. She loves it and wears it when walking around campus. The sound is very good and they feel comfortable in her. They charge well and keep they charge for awhile.,5,194
Great Product,This Tom Tom GPS was easy to set up and gets me around easily.  The voice is easy to understand and the directions are clear.  I've had no problems with it and am very eased.,5,174
Saved my reader,Works good to protect my kindle. I've dropped it several times and it takes the damage instead of my kindle.,5,108
Works great. My husband uses it to listen to music ...,Works great. My husband uses it to listen to music while he's in the shower. The only thing he dislikes is the tone when you turn it on.,5,136
Five Stars,Works great. I attached it to my bedside table and I now have all my cords near by.,5,83
Charging Cable With Oval USB-C Connectors,"This AMAZONBASICS USB-C 2.0 TO USB-C CABLE (3-Foot, White) has a USB-C connector (oval) on each end.  You can plug the cable into any USB-C port, or you can use a USB-C adapter if you want to connect the cable to an electrical outlet.<br /><br />The cable works fine as a charging cable, but it lacks the fast data transfer speeds of USB-C 3.0, USB-C 3.1/gen1, or USB 3.1/gen2 cables.  Try Googling for ""USB 3.0"" to learn more about the fast data transfer cables.<br /><br />In my experience, AmazonBasics products like this one perform well, are reliable, and are durable.  The 3-ft. length is convenient for desktop use or for carrying in a purse or backpack.  However, a longer cable is better if you will be plugging the cable into wall outlets.",5,749
"Cable With USB-C Connectors Allows Fast Charging, Data Transfers","This AMAZONBASICS USB-C 3.1 GEN1 TO USB-C CABLE (3-Foot, White) has a USB-C connector (oval) on each end.  You can plug the cable into any USB-C port, or you can use a USB-C power delivery adapter (e.g.,[[ASIN:B07P5QSRXS AmazonBasics 30W One-Port USB-C 3.0 Wall Charger]]) if you want to connect the cable to an electrical outlet.<br /><br />USB-C 3.1/gen 1 is the successor to USB 3.0, and allows fast data transfer speeds (USB 3.1 SuperSpeed and SuperSpeed+) and fast charging of mobile devices.  For even faster speeds, you will need a USB 3.1/gen 2 cable.<br /><br />In my experience, AmazonBasics products like this one perform well, are reliable, and are durable.  The 3-ft. length is convenient for desktop use or for carrying in a purse or backpack.  However, a longer cable is better if you will be plugging the cable into wall outlets.",5,845
"Works With Lightning Port on iPad, iPod, iPhone","This DAMFEYA APPLE CERTIFIED LIGHTNING TO 3.5MM HEADPHONE JACK ADAPTER DONGLE (for iPhone, iPad, iPod) really works!  It eliminates the need to purchase Bluetooth earbuds/headphones for any late-model Apple product that has a lightning cable port but lacks an audio jack.<br /><br />To use the dongle, you plug it into your device’s lightning port, then plug your cabled earbuds/headphones into the dongle.  Sound levels and playback are controlled by the Apple iOS.",5,466
"Terrific Backlighting, But Too Many Buttons","This GE BACKLIT UNIVERSAL REMOTE CONTROL (Backlit, 8-Device, Graphite, 47510) has terrific bright backlighting, and works with my Samsung TV, but has too many buttons!  It’s complicated to use, because most of the buttons (e.g., navigation, channel, volume, mute, menu, etc.) work only in conjunction with specific device and procedure buttons (e.g., TV, DVD, Stream, etc.).<br /><br />With my other remotes, you simply select the Input (Source), and all of the buttons will work to control the display, channels, etc.  With the GE remote, you have to press a device/procedure button (e.g., TV, Stream) IN ADDITION TO selecting the Input/Source, or else the control buttons on the remote will NOT work properly.<br /><br />The GE remote works so differently from my other remotes, it’s a chore to learn how to use it.  I love the brightly lit display, but that’s not enough to make me want to fiddle with extra buttons all the time.",2,932
"Charges iPad Air Quickly, Comes With Double-Zippered Carrying Case","This AMAZONBASICS PREMIUM DOUBLE BRAIDED NYLON USB-C TO LIGHTNING CABLE (MFI Certified Apple; 6 Ft., Silver) charges my iPad Air (3d Gen) very quickly indeed.  It is Apple-certified, and comes in a double-zippered hard carrying case.  The cable has a heavy braided nylon cover for maximum durability.<br /><br />The 6-ft. length is probably the best for carrying with you, because a 6-ft. cable is long enough to reach a wall plug when you sit in a chair or at a table.  The carrying case prevents the cable from tangling inside a backpack or tote bag.<br /><br />To use the cable, you need a charger or device with a USB-C port.  This type of port has a flattened oval shape.  Most of today’s laptops and fast chargers (the kind that deliver extra power to tablets and cell phones) are equipped with USB-C ports.  (You can Google for “USB-C port” to find a photograph, if you’re unsure whether your charger or laptop has a USB-C port.)",5,936
Best Mouse Ever; Keyboard is Noiseless,"This LOGITECH MK470 SLIM WIRELESS COMBO (Keyboard & Mouse; Graphite) has the most responsive mouse that I’ve ever encountered.  The keyboard is darned good, too.  Both keyboard and mouse are wireless--they are controlled by a single USB dongle that plugs into a USB port on a  Win7, Win8, or Win10 (or later) device.<br /><br />The keyboard is completely noiseless.  The keys are responsive.  The “home” keys are a little bit hard to find by feel--I only wish that the raised marker bars were raised a little more, or made a bit larger.<br /><br />The USB dongle is “plug and play”.  That is, you plug it in, and wait a very short time for the Windows OS to recognize it and set it up.  The keyboard and mouse will work even if you have another keyboard and mouse installed.<br /><br />The mouse requires one AA battery (included).  To change the battery, just lift off the top of the mouse.  The keyboard requires two AA batteries (included).  To change the keyboard batteries, you push up the strip across the top (the part with “Logi” on it).  The keyboard battery compartment has a space for storing the dongle when you take the keyboard on the road.<br /><br />The price (about $49 on Amazon) is extremely reasonable for such a high-quality mouse and keyboard combo.",5,1271
Expensive Ultra-Thin Camera Cover Slides for Mobile Devices,"These ULTRA THIN LAPTOP CAMERA COVER SLIDES (for Laptop, PC, MacBook, iMac, Computer, iPad, Spot, Tablet) are very expensive (about $11 on Amazon for 3 slides) for what they are.  They are made of very thin plastic, and the cover often pops off when I’m closing the slide.  The cover snaps back on easily, but it’s still a small plastic piece that’s easy to lose.<br /><br />The slide has good adhesive that holds well.  The opening is large enough to fit around the camera opening on most mobile devices.  Because it’s so thin, the slide doesn’t interfere with closing a laptop or with closing a tablet cover.  I do like the “no camera” design on the slide covers.",3,665
Prints Anything and Everything From Galaxy Phone; Easy to Set Up,"I really like this HP ENVY 6055 WIRELESS ALL-IN-ONE PRINTER (5SE16A). Finally I’m able to print anything and everything from my Samsung Galaxy S10 cell phone! To set it up with an Android phone, you need two apps from Google Play: HPSmart, and HP Print Service Plugin.<br /><br />SETUP.  Once you have HPSmart, you turn on the printer, open the app, and follow the prompts.  The app finds the printer, helps you connect it to your home network, and takes you through the process of loading paper, installing two ink cartridges, and aligning the copier.  From time to time, a prompt will tell you to press a lighted or flashing button on the printer in order to proceed.<br /><br />The setup process isn’t difficult, but you should start it when you have maybe 20-30 minutes to devote to it.  There are enough steps that you don’t want to get interrupted in the middle.<br /><br />HPSMART APP.  Something that I really love about the printer, is that I can use my phone to make it scan a document and send the document to an email address.  The phone can control all of the printer functions through the HPSmart display--it just takes a tap on a virtual button.  I asked the printer to print a photo from my phone’s Gallery, and it came out beautifully.  The photo that I took outside my home with the phone’s camera and immediately sent to the printer also came out beautifully.<br /><br />MANUAL CONTROLS. You can also control the printer manually, at least for copying. When you open the printer cover, the buttons for the number of copies and copying light up.  However, this printer is easiest to control with the HPSmart app. (I need to visit the HP web site and download the full manual--the closest now is the Envy 6400 all-in-one printer manual--because the lighted buttons aren’t quite intuitive.)  Other mobile devices on my home network (e.g., my iPad Air) are able to find the printer and use it like any other printer on my network.<br /><br />SPEED; COPY QUALITY; INK  The printer is quite fast, and the quality of the printing is excellent.  The ink colors are bright and the printing is extremely crisp and clear (even with fine print).  The printer uses HP 67 ink cartridges--which are definitely NOT discontinued (as another reviewer reported).  My local Staples store has the ink in stock right now (July 2020).<br /><br />INSTANT INK PROGRAM.  If you like, you can sign up for the optional HP Instant Ink program, and the printer will automatically order ink for you.  I chose the “Moderate” program, which assumes printing about 100 pages per month, for $4.99 a month (after the first 2 months’ free trial).  If you don’t print that many pages, you can carry over the unused pages to a later month (up to a set number of pages).  You can cancel the Instant Ink program at any time.<br /><br />APPEARANCE.  The printer has a sleek, low profile.  It’s white, which means it will blend in with the decor of any room.",5,2934
Slow Initial Charge; Odd Setup; Wildly Inaccurate Initial Location,"This SAMSUNG SMARTTHINGS TRACKER [SM-V110AZWAATT] is designed for wide-area GPS tracking.  That is, you set a home location, and then when you travel away from home, the SmartThings app can show you on a street map where the device is currently located.  I wanted something for in-home tracking of an oft-misplaced set of keys, and this is the wrong device for that purpose.<br /><br />Since I was already using the SmartThings app to control my TV with Alexa, it was fairly simple to add the Tracker to the app, and to register it.  I was surprised to learn that the Tracker came with one year of free tracking service (provided by something called ziptracker, I think), which presumably means that one has to pay for the service after that.<br /><br />My experience with the SmartThings app is that it is quirky, and it proved so again during setup.  Even though I began the Tracker device setup on my iPad, the setup process switched on its own to my Samsung Galaxy cellphone.  Go figure.<br /><br />SmartThings registered my Tracker with the service, but when I sent a signal to record the Tracker’s current location, the location was far, far off.  The map showed the Tracker to be in a wholly different neighborhood from my actual home!<br /><br />Probably the wildly inaccurate initial location was caused by the signal’s reporting from a Comcast or Verizon broadcast tower located in that spot--I’ve had trouble using other locator services (e.g., Find My iPhone) for this reason.  However, the inaccurate location makes me wonder how useful the device would be for tracking children or pets.<br /><br />One final complaint about the device is that it took a couple of hours for the initial charge.  I don’t know how often it requires recharging. (My Tracker went straight into the hazardous waste recycle bin.)<br /><br />NOTE:  I’ve had some success at finding the oft-misplaced keys with [[ASIN:B0732P113R TrackR Pixel]].  It has a reasonably loud location signal, and a battery that lasts fairly well, so that the battery isn’t always dead when I need to locate the keys.",1,2083
Aesthetically Appealing Shape Is Impractical for Cable Management,"This AMAZONBASICS HIGH-SPEED 4 PORT USB 3.0 HUB (with AC Adapter for use with Macbook, Mac Pro, iMac, Surface Pro and more) works fine, and the round shape is aesthetically appealing.  My experience with AmazonBasics products is that they generally perform reliably.<br /><br />However, once I set this disc-shaped hub up, I realized that the port placement (at intervals around a flat disc) causes the USB cables for connected devices to take off in all directions, so that cable management in my computer area becomes difficult.  What I do NOT need is another cable tangle that will catch tons of dust.<br /><br />I can’t recommend this hub.  A USB 3.0 hub with ports placed in a straight row is a better choice.",3,714
Easiest Setup Ever Encountered; Works With Samsung QLED Smart TV,"This AMAZON BASICS WIRELESS KEYBOARD (with Touchpad for Smart TV - US Layout (QWERTY)) has the easiest setup I’ve ever encountered for a wireless device.  You insert 2 AAA batteries (included) into the keyboard, plug the USB radio receiver into a USB port on your Smart TV, and you’re instantly connected.  If for some reason you aren’t automatically connected, you just hit Esc-K to connect.<br /><br />The keyboard works with my Samsung QLED Q7F Smart TV.  Not all of the function keys work with every screen--for example, the keyboard’s “Mute” button does NOT mute the TV--but that’s normal for generic controllers like this one that are intended to work with many different wireless devices.<br /><br />The keyboard does everything that my Samsung remote does (for example, switches between apps, sources, calls up the TV settings menu), although it takes a bit of experimentation to learn how to use it.  The direction keys near the touchscreen allow you to navigate the TV screen and everything else.  If you go to the TV’s Internet area, the touchscreen activates and you see a big arrow cursor that works like a mouse.<br /><br />The keyboard does the one thing that I really wanted. It has a Search button that allows me to search for TV shows, movies, etc. by typing on the keyboard, instead of by navigating around letter-by-letter on an onscreen letterpad.  The keyboard does NOT work when I’m using Roku for searches, but that’s normal because the keyboard is designed to connect directly to a Smart TV (not to the TV’s connected accessories).<br /><br />The keyboard does feel cheap, and I wouldn't want to use it as a computer keyboard.  However, it's fine for my occasional use as a Smart TV keyboard.<br /><br />NOTE:  The wireless adapter is stored at the upper left of the box, inside the folded cardboard.  The batteries are on the right.",5,1858
Speeds Up Boot Time for Seldom-Used Desktop PC,"Because solid state drives are much faster than conventional hard drives with spinning discs, they boot your computer almost instantly.  I ordered this LEXAR NM210 M.2 SATA III (6GB/S) 128GB SOLID-STATE DRIVE (LNM210-128RBNA) to install in an old desktop PC that I don’t use much any more.<br /><br />Instead of replacing that PC with a new desktop PC equipped with a solid-state drive, I decided to upgrade with this inexpensive (about $32 on Amazon) internal SSD.  The old PC uses SATA drives, and the 128-GB SSD is big enough to hold the Windows operating system.  With Windows transferred to the Lexar SSD, I no longer have to sit and wait for the desktop PC to boot up.<br /><br />I haven’t had the drive installed for long enough to say whether it is reliable.  Any PC drive can fail unexpectedly, so it’s really important to back up your PC regularly.",5,858
Absolutely Perfect! Case Holds All Basic Versa Parts--And More,"This APROCA HARD STORAGE TRAVEL CASE FOR DREMEL VERSA CLEANING TOOL PC10 is absolutely perfect!  The Dremel Versa fits in one half of the case, along with the bristle brush and splash guard (nested).  The other half of the case holds the cleaning disc holder, at least 9 assorted cleaning discs (white, blue, brown), a long brush (an extra accessory, available on Amazon), and the Versa charger and charging cable.<br /><br />The hard case has a good zipper closure that zips from either side.  It also has a ribbon carry handle.  When closed, the Versa tool and all of its accessories are contained in a single 9”W x 5”H x 3.5”D case.<br /><br />Looking at the product page photo, I wasn’t sure whether the bristle brush would fit in this case, but it does--and the case even has room for a different brush and a bunch of cleaning discs.  I’m really glad that I ordered this, because it is so much handier to use than a ZipLoc storage bag for keeping all the Versa parts together.",5,981
Adds 8 Ethernet Ports (for Wired Connections to Additional Devices) to Your Network,"Be sure to watch the manufacturer’s video (bottom of product page), if you’re not quite sure what this NETGEAR 8-PORT GIGABIT ETHERNET UNMANAGED SWITCH (GS308) is supposed to do.  For me, it adds 8 Ethernet ports to supplement the 5 Ethernet ports on my Netgear Nighthawk router.<br /><br />The ports are used for connecting additional devices to your network with Ethernet cables.  These are wired connections, so your devices have to be close enough to the switch to be reached with Ethernet cables.  The switch is easy to set up (see photos of installation guide).<br /><br />I’m a firm believer in Netgear hardware.  My Netgear routers have always been rock-solid, so I’m expecting no problems with this switch.<br /><br />I’d recommend always registering your Netgear products, so that you will get emails if there are important firmware updates available, or if any other significant issues come up regarding your products.  The company is very good about sending these notifications.",5,990
Handsome Stereo Cable Links Audio System With Cell Phone,"This Amazon Brand LINKERPAD 3.5MM TO 2-MALE RCA  ADAPTER AUDIO STEREO CABLE (4.9 Feet, 1.5 Meters) works great for linking my cell phone to my old audio system.  The stereo cable is very handsome--silver-gray plugs have gold, red, and white accents, and contrast nicely with the black braided cable.  The plugs themselves have gold posts.",5,338
